id;start;end;state
1;2020-11-25T06:58:40;2020-11-25T09:53:20;NOT_START
2;2020-11-25T06:02:07;2020-11-24T17:51:33;INPROGRESS
3;2020-11-24T19:48:36;2020-11-25T10:58:08;NOT_START
4;2020-11-25T05:55:27;2020-11-24T20:38:19;NOT_START
5;2020-11-24T22:47:13;2020-11-24T20:17:46;NOT_START
6;2020-11-24T11:16:51;2020-11-25T07:38:43;INPROGRESS
7;2020-11-25T02:00:00;2020-11-24T22:07:46;INPROGRESS
8;2020-11-24T16:52:00;2020-11-24T14:45:22;INPROGRESS
9;2020-11-24T23:29:48;2020-11-25T09:56:39;NOT_START
10;2020-11-25T09:56:03;2020-11-24T22:57:27;END
